relativePath,originalExt,originalBytes,webpBytes,deltaBytes,deltaPercent,originalSize,webpSize,quality
vocab/images/ruby.webp,webp,23476,12062,-11414,-48.62,22.93 KB,11.78 KB,85
vocab/images/ruler.webp,webp,8162,5596,-2566,-31.44,7.97 KB,5.46 KB,85
vocab/images/running.webp,webp,28690,14560,-14130,-49.25,28.02 KB,14.22 KB,85
vocab/images/rural.webp,webp,41984,27480,-14504,-34.55,41.00 KB,26.84 KB,85
vocab/images/rust.webp,webp,26790,16576,-10214,-38.13,26.16 KB,16.19 KB,85
vocab/images/sad.webp,webp,16060,9474,-6586,-41.01,15.68 KB,9.25 KB,85
vocab/images/saddle.webp,webp,39174,21842,-17332,-44.24,38.26 KB,21.33 KB,85
vocab/images/safarihat.webp,webp,9088,5058,-4030,-44.34,8.88 KB,4.94 KB,85
vocab/images/saffron.webp,webp,29920,18020,-11900,-39.77,29.22 KB,17.60 KB,85
vocab/images/salami.webp,webp,44556,24534,-20022,-44.94,43.51 KB,23.96 KB,85
vocab/images/saltextraction.webp,webp,25658,16064,-9594,-37.39,25.06 KB,15.69 KB,85
vocab/images/sandbag.webp,webp,54042,33026,-21016,-38.89,52.78 KB,32.25 KB,85
vocab/images/sandpaper.webp,webp,29654,13242,-16412,-55.34,28.96 KB,12.93 KB,85
vocab/images/satellite.webp,webp,27534,12474,-15060,-54.70,26.89 KB,12.18 KB,85
vocab/images/sauce.webp,webp,22726,10798,-11928,-52.49,22.19 KB,10.54 KB,85
vocab/images/saw.webp,webp,12558,5138,-7420,-59.09,12.26 KB,5.02 KB,85
vocab/images/scaffolding.webp,webp,50910,29474,-21436,-42.11,49.72 KB,28.78 KB,85
vocab/images/scalpel.webp,webp,6060,3590,-2470,-40.76,5.92 KB,3.51 KB,85
vocab/images/scarf.webp,webp,59350,37428,-21922,-36.94,57.96 KB,36.55 KB,85
vocab/images/school.webp,webp,19700,12258,-7442,-37.78,19.24 KB,11.97 KB,85
vocab/images/scientist.webp,webp,21768,10500,-11268,-51.76,21.26 KB,10.25 KB,85
vocab/images/scoop.webp,webp,29446,12260,-17186,-58.36,28.76 KB,11.97 KB,85
vocab/images/screwdriver.webp,webp,21904,8240,-13664,-62.38,21.39 KB,8.05 KB,85
vocab/images/scythes.webp,webp,36668,23494,-13174,-35.93,35.81 KB,22.94 KB,85
vocab/images/seagull.webp,webp,13302,6058,-7244,-54.46,12.99 KB,5.92 KB,85
vocab/images/sedentary.webp,webp,9258,5456,-3802,-41.07,9.04 KB,5.33 KB,85
vocab/images/shelf.webp,webp,34262,17832,-16430,-47.95,33.46 KB,17.41 KB,85
vocab/images/ship.webp,webp,36362,18894,-17468,-48.04,35.51 KB,18.45 KB,85
vocab/images/shorts.webp,webp,31358,16330,-15028,-47.92,30.62 KB,15.95 KB,85
vocab/images/shower.webp,webp,28982,12716,-16266,-56.12,28.30 KB,12.42 KB,85
vocab/images/showerhead.webp,webp,16272,7950,-8322,-51.14,15.89 KB,7.76 KB,85
vocab/images/silk.webp,webp,20014,11730,-8284,-41.39,19.54 KB,11.46 KB,85
vocab/images/silky.webp,webp,24944,9978,-14966,-60.00,24.36 KB,9.74 KB,85
vocab/images/silverware.webp,webp,35882,22712,-13170,-36.70,35.04 KB,22.18 KB,85
vocab/images/sink.webp,webp,16564,7260,-9304,-56.17,16.18 KB,7.09 KB,85
vocab/images/sit.webp,webp,28342,16834,-11508,-40.60,27.68 KB,16.44 KB,85
vocab/images/skateboard.webp,webp,28326,13964,-14362,-50.70,27.66 KB,13.64 KB,85
vocab/images/ski.webp,webp,57602,37608,-19994,-34.71,56.25 KB,36.73 KB,85
vocab/images/skimmer.webp,webp,4478,2728,-1750,-39.08,4.37 KB,2.66 KB,85
vocab/images/skin.webp,webp,30176,11586,-18590,-61.61,29.47 KB,11.31 KB,85
vocab/images/skirt.webp,webp,31392,17422,-13970,-44.50,30.66 KB,17.01 KB,85
vocab/images/skull.webp,webp,5992,3408,-2584,-43.12,5.85 KB,3.33 KB,85
vocab/images/sky.webp,webp,4148,2324,-1824,-43.97,4.05 KB,2.27 KB,85
vocab/images/skyscraper.webp,webp,26416,17302,-9114,-34.50,25.80 KB,16.90 KB,85
vocab/images/sleep.webp,webp,15936,10152,-5784,-36.30,15.56 KB,9.91 KB,85
vocab/images/slope.webp,webp,21680,13836,-7844,-36.18,21.17 KB,13.51 KB,85
vocab/images/sloth.webp,webp,46940,27754,-19186,-40.87,45.84 KB,27.10 KB,85
vocab/images/smallinside.webp,webp,5608,3110,-2498,-44.54,5.48 KB,3.04 KB,85
vocab/images/snack.webp,webp,47006,27296,-19710,-41.93,45.90 KB,26.66 KB,85
vocab/images/snail.webp,webp,25172,12330,-12842,-51.02,24.58 KB,12.04 KB,85
vocab/images/snake.webp,webp,45344,25130,-20214,-44.58,44.28 KB,24.54 KB,85
vocab/images/snowball.webp,webp,9574,4448,-5126,-53.54,9.35 KB,4.34 KB,85
vocab/images/soap.webp,webp,27582,13722,-13860,-50.25,26.94 KB,13.40 KB,85
vocab/images/sock.webp,webp,34462,16278,-18184,-52.77,33.65 KB,15.90 KB,85
vocab/images/sorbet.webp,webp,32876,17194,-15682,-47.70,32.11 KB,16.79 KB,85
vocab/images/soup.webp,webp,25768,11986,-13782,-53.48,25.16 KB,11.71 KB,85
vocab/images/sparkler.webp,webp,17338,9670,-7668,-44.23,16.93 KB,9.44 KB,85
vocab/images/spatula.webp,webp,4542,2900,-1642,-36.15,4.44 KB,2.83 KB,85
